XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
-0.09250,2.61175,-0.39750,3,15.34,-16.03,32,18,1
-0.09000,2.61025,-0.39775,0,15.58,-16.31,28,15,1
-0.09275,2.61550,-0.39850,0,15.61,-16.30,28,14,1
-0.09425,2.61475,-0.39750,1,15.22,-16.14,32,20,1
-0.09200,2.61325,-0.39900,2,15.75,-16.16,27,14,1
-0.08975,2.61225,-0.39875,2,17.32,-16.31,18,0,1
-0.09000,2.61250,-0.39775,0,16.04,-15.33,33,18,1
-0.08875,2.61500,-0.39800,3,15.84,-15.52,34,18,1
-0.08600,2.61125,-0.39825,0,15.85,-16.03,28,15,1
-0.08150,2.60925,-0.39875,4,16.98,-16.65,18,1,1
-0.08050,2.61025,-0.39825,3,15.69,-15.69,34,19,1
-0.08050,2.60950,-0.39650,3,15.59,-16.27,26,14,1
-0.08325,2.61075,-0.39775,2,15.59,-15.79,32,20,1
-0.08175,2.61125,-0.39750,0,15.58,-15.80,33,18,1
-0.08050,2.61025,-0.39700,3,15.82,-15.56,34,19,1
-0.08625,2.61500,-0.39825,3,15.76,-15.60,33,18,1
-0.08450,2.61550,-0.39875,1,17.39,-16.24,19,0,1
-0.08600,2.61250,-0.39725,2,15.29,-16.08,33,18,1
-0.08750,2.61425,-0.39775,1,15.55,-15.81,32,17,1
-0.09575,2.61925,-0.39825,2,15.42,-15.91,33,18,1
-0.09275,2.61800,-0.39825,0,16.82,-16.81,19,0,1
-0.09300,2.61675,-0.39800,3,15.55,-15.80,35,18,1
-0.09200,2.61950,-0.39825,0,15.77,-15.56,35,18,1
-0.08950,2.61700,-0.39775,0,15.77,-16.14,29,11,1
-0.09350,2.62050,-0.39825,5,15.81,-15.52,35,17,1
-0.09475,2.62050,-0.39750,2,15.70,-15.63,33,18,1
-0.09200,2.62075,-0.39675,0,15.23,-16.10,35,18,1
-0.09100,2.62375,-0.39700,6,15.74,-15.57,33,18,1
-0.08975,2.62375,-0.39775,5,16.00,-15.32,33,18,1
-0.08875,2.62350,-0.39625,3,16.38,-15.54,27,14,1
-0.08775,2.61750,-0.39675,1,15.84,-16.06,28,14,1
-0.08525,2.61600,-0.39725,1,15.44,-15.91,33,18,1
-0.08400,2.61725,-0.39800,6,15.63,-15.72,35,17,1
-0.08250,2.61725,-0.39750,2,15.65,-15.70,36,17,1
-0.08125,2.61850,-0.39800,3,15.63,-15.71,36,19,1
-0.08550,2.62025,-0.39800,2,15.64,-15.69,34,19,1
-0.08700,2.62325,-0.39800,10,15.87,-15.45,36,19,1
-0.08300,2.62125,-0.39825,1,15.68,-15.65,37,18,1
-0.08025,2.62050,-0.39850,0,15.79,-15.55,39,19,1
-0.08200,2.62250,-0.39800,0,17.28,-16.35,19,0,1
-0.08375,2.61825,-0.39600,4,16.90,-14.99,28,13,1
-0.07625,2.61125,-0.39900,0,17.34,-16.29,19,0,1
-0.07925,2.60850,-0.39800,0,15.44,-15.95,36,17,1
-0.07800,2.61150,-0.39700,0,15.47,-15.91,37,20,1
-0.07250,2.61075,-0.39725,3,15.42,-15.96,37,18,1
-0.07925,2.61475,-0.39825,1,17.32,-16.31,18,0,1
-0.07975,2.61550,-0.39825,2,15.58,-15.78,38,18,1
-0.07700,2.61550,-0.39850,0,15.53,-15.83,38,18,1
-0.07675,2.61200,-0.39775,0,15.48,-15.90,38,19,1
-0.07400,2.61325,-0.39750,2,15.54,-15.83,38,18,1
-0.07925,2.61400,-0.39525,3,16.42,-15.44,28,15,1
-0.07325,2.61500,-0.39375,4,16.93,-14.91,31,13,1
-0.07100,2.61075,-0.39825,1,15.64,-15.75,38,19,1
-0.06850,2.61150,-0.39850,2,15.87,-15.51,38,18,1
-0.06950,2.61050,-0.39775,0,15.60,-15.79,37,17,1
-0.06825,2.61025,-0.39725,7,15.70,-15.69,39,19,1
-0.06550,2.60975,-0.39775,0,17.76,-15.87,18,0,1
-0.06425,2.61100,-0.39800,1,15.68,-15.71,39,19,1
-0.06600,2.61325,-0.39825,0,15.66,-15.72,39,20,1
-0.06725,2.61300,-0.39750,1,16.04,-15.34,39,19,1
-0.06575,2.61225,-0.39700,3,15.55,-15.83,39,19,1
-0.07850,2.61850,-0.39700,0,15.53,-15.82,39,17,1
-0.07450,2.61750,-0.39825,3,15.80,-15.55,39,19,1
-0.07350,2.61925,-0.39850,3,17.47,-16.16,19,0,1
-0.07325,2.61925,-0.39700,4,15.68,-15.66,38,18,1
-0.07900,2.62075,-0.39800,2,15.49,-15.84,39,19,1
-0.07625,2.62175,-0.39675,1,15.50,-15.83,36,19,1
-0.07650,2.62275,-0.39775,2,17.44,-16.19,18,0,1
-0.07225,2.62075,-0.39775,6,15.56,-15.78,38,18,1
-0.07375,2.62375,-0.39750,5,15.37,-15.95,39,18,1
-0.07225,2.61775,-0.39350,1,16.82,-15.02,30,13,1
-0.06850,2.61975,-0.39825,0,17.31,-16.32,19,0,1
-0.06800,2.61975,-0.39750,4,15.87,-15.47,37,19,1
-0.07100,2.62225,-0.39700,1,15.67,-15.66,38,18,1
-0.06975,2.62200,-0.39800,3,15.62,-15.71,37,20,1
-0.06575,2.62225,-0.39725,0,15.68,-15.65,37,19,1
-0.06600,2.61925,-0.39225,10,17.22,-14.60,32,14,1
-0.03675,2.52375,-0.39900,2,15.43,-16.39,35,19,1
-0.03350,2.52050,-0.39825,7,15.37,-16.47,34,22,1
-0.03700,2.52450,-0.39825,0,15.37,-16.09,29,14,1
-0.03675,2.52675,-0.40000,6,17.96,-15.69,18,0,1
-0.03550,2.52475,-0.39850,1,15.18,-16.64,35,20,1
-0.03550,2.52525,-0.39850,0,15.42,-16.04,29,16,1
-0.03300,2.52550,-0.39875,3,15.51,-15.94,28,15,1
-0.03250,2.52525,-0.39825,1,15.28,-16.54,36,21,1
-0.03350,2.52725,-0.39950,1,15.69,-15.77,28,15,1
-0.01000,2.50600,-0.40975,22,18.65,-15.01,14,0,1
-0.00750,2.51000,-0.40900,20,18.85,-14.81,14,0,1
-0.00200,2.51100,-0.40850,22,18.88,-14.78,14,0,1
-0.01025,2.50925,-0.40750,27,18.69,-14.97,16,0,1
-0.00475,2.50850,-0.40725,24,18.98,-14.68,15,0,1
-0.02850,2.51450,-0.40350,8,17.98,-15.68,18,0,1
-0.01800,2.51400,-0.40475,10,18.40,-15.26,16,0,1
-0.02075,2.51575,-0.40400,15,18.49,-15.17,17,0,1
-0.02350,2.52325,-0.40425,11,18.77,-14.88,16,0,1
-0.01250,2.51250,-0.40875,22,18.74,-14.92,15,0,1
-0.01525,2.51800,-0.40625,10,18.33,-15.33,16,0,1
-0.01275,2.51950,-0.40750,15,18.80,-14.86,18,0,1
-0.00225,2.51350,-0.40625,22,18.98,-14.68,17,0,1
-0.00500,2.51950,-0.40625,20,18.89,-14.77,18,0,1
-0.01025,2.52500,-0.40750,20,18.83,-14.82,17,0,1
-0.00750,2.52100,-0.40800,23,18.99,-14.66,15,0,1
-0.02475,2.51100,-0.39775,2,15.59,-16.30,35,20,1
-0.02250,2.50975,-0.39900,8,15.48,-15.89,28,15,1
-0.02075,2.51025,-0.39925,1,15.55,-15.81,29,16,1
-0.02200,2.51100,-0.39825,2,15.21,-16.16,30,17,1
